species,location,season,temperature_c,humidity_pct,soil_moisture_pct,days_since_watered,missed_waterings,light_hours_daily,pot_has_drainage,health_score,health_label,recommended_water_days
ZZ Plant,Outdoor - Shade,Dry Season,21.7,75.7,59.7,13.4,6,2.6,1,70.7,Needs Attention,16
Monstera,Indoor - Low Light,Rainy Season,30.2,25.5,2.3,15.7,6,3.4,1,34.5,At Risk,9
Philodendron,Indoor - Bright Light,Rainy Season,28.3,63.5,4.6,18.2,4,6.5,0,21.1,At Risk,9
Snake Plant,Outdoor - Shade,Rainy Season,26.8,32.9,49.5,1.0,5,5.9,0,74.7,Needs Attention,16
Dracaena,Indoor - Medium Light,Rainy Season,21.7,88.0,77.5,28.2,5,11.3,1,46.8,At Risk,12
Monstera,Outdoor - Full Sun,Rainy Season,28.8,63.1,96.5,18.2,4,3.4,1,56.8,Needs Attention,9
Aloe Vera,Indoor - Low Light,Rainy Season,23.9,25.9,19.9,21.3,2,9.7,0,69.7,Needs Attention,16
Snake Plant,Indoor - Low Light,Rainy Season,25.4,68.5,66.6,17.7,5,10.9,1,92.5,Healthy,16
Dracaena,Indoor - Bright Light,Dry Season,32.4,40.3,25.6,1.2,6,6.3,0,85.8,Healthy,8
Spider Plant,Outdoor - Full Sun,Rainy Season,31.9,34.1,60.4,16.2,4,4.3,0,34.1,At Risk,9
Bamboo Palm,Indoor - Low Light,Dry Season,35.4,77.2,18.7,26.8,2,5.2,0,32.5,At Risk,7
Boston Fern,Indoor - Low Light,Rainy Season,22.4,32.8,33.8,28.3,5,4.2,1,32.7,At Risk,5
Orchid,Indoor - Medium Light,Dry Season,24.0,43.5,3.7,18.3,1,6.1,0,47.8,At Risk,5
Fiddle Leaf Fig,Outdoor - Shade,Dry Season,33.2,40.4,72.8,11.0,3,11.8,1,35.3,At Risk,5
Boston Fern,Outdoor - Full Sun,Dry Season,29.8,69.0,1.7,15.4,2,5.5,0,35.4,At Risk,1
Rubber Plant,Indoor - Low Light,Rainy Season,36.5,82.0,25.8,19.8,1,11.8,1,58.3,Needs Attention,9
Monstera,Outdoor - Full Sun,Rainy Season,30.7,47.0,34.9,21.8,2,10.6,1,45.8,At Risk,9
Dracaena,Indoor - Low Light,Dry Season,37.5,43.5,30.5,14.6,2,8.5,1,79.1,Healthy,8
Spider Plant,Indoor - Bright Light,Dry Season,24.2,60.3,50.9,19.1,5,4.4,1,22.8,At Risk,5
Orchid,Indoor - Low Light,Dry Season,22.6,57.4,57.2,23.1,7,3.8,1,0.0,At Risk,5
Rubber Plant,Outdoor - Full Sun,Rainy Season,24.6,60.9,57.2,29.4,3,4.9,1,39.7,At Risk,9
Philodendron,Indoor - Medium Light,Dry Season,29.4,31.3,61.5,29.7,1,4.5,1,59.4,Needs Attention,5
Fiddle Leaf Fig,Outdoor - Full Sun,Rainy Season,34.2,77.7,86.7,27.4,1,2.1,1,76.7,Healthy,9
Peace Lily,Outdoor - Shade,Rainy Season,19.9,62.6,3.6,14.0,6,11.8,1,13.3,At Risk,7
Cactus,Indoor - Bright Light,Rainy Season,24.5,78.8,27.2,29.0,6,2.9,0,86.0,Healthy,23
Spider Plant,Outdoor - Full Sun,Rainy Season,28.3,46.0,79.5,8.1,3,9.4,1,95.0,Healthy,9
Dracaena,Indoor - Low Light,Rainy Season,26.2,36.3,15.6,7.5,5,2.9,0,21.3,At Risk,12
Monstera,Outdoor - Full Sun,Dry Season,19.0,61.8,15.9,3.6,4,3.2,0,61.5,Needs Attention,5
Spider Plant,Outdoor - Full Sun,Rainy Season,18.3,74.6,80.7,10.4,5,6.3,1,75.5,Healthy,9
Philodendron,Indoor - Medium Light,Rainy Season,36.7,57.6,53.9,20.5,7,2.7,1,24.4,At Risk,9
Aloe Vera,Outdoor - Shade,Rainy Season,29.5,33.4,81.1,24.6,3,5.9,1,35.3,At Risk,16
Aloe Vera,Outdoor - Full Sun,Rainy Season,31.6,47.1,26.1,14.9,1,9.0,1,95.5,Healthy,16
Spider Plant,Indoor - Low Light,Dry Season,37.4,60.6,42.3,17.1,2,11.9,1,33.7,At Risk,5
Bamboo Palm,Indoor - Low Light,Dry Season,20.1,83.7,50.5,24.8,5,5.0,0,42.5,At Risk,7
Rubber Plant,Outdoor - Shade,Rainy Season,31.5,56.4,49.3,2.5,4,4.9,1,85.1,Healthy,9
Rubber Plant,Outdoor - Full Sun,Dry Season,27.9,28.7,55.0,13.2,6,7.5,1,0.0,At Risk,5
